"","V1","V2","V3","V4","V5","V6"
"2","MID","APXMIDP",20171201,1,44.98,711.15
"3","MID","APXMIDP",20171201,2,53.14,489.65
"4","MID","APXMIDP",20171201,3,53.76,431.3
"5","MID","APXMIDP",20171201,4,51.43,387.25
"6","MID","APXMIDP",20171201,5,49.52,681.65
"7","MID","APXMIDP",20171201,6,49.29,663.05
"8","MID","APXMIDP",20171201,7,49.24,469.65
"9","MID","APXMIDP",20171201,8,48.91,517.45
"10","MID","APXMIDP",20171201,9,48.6,527.8
"11","MID","APXMIDP",20171201,10,49.04,457.3
"12","MID","APXMIDP",20171201,11,50.46,427.4
"13","MID","APXMIDP",20171201,12,51.06,489
"14","MID","APXMIDP",20171201,13,65.96,656.7
"15","MID","APXMIDP",20171201,14,50.15,1066
"16","MID","APXMIDP",20171201,15,58.74,882.15
"17","MID","APXMIDP",20171201,16,58.54,872.35
"18","MID","APXMIDP",20171201,17,63.23,590
"19","MID","APXMIDP",20171201,18,62.46,583.25
"20","MID","APXMIDP",20171201,19,61.26,600.85
"21","MID","APXMIDP",20171201,20,62,668.2
"22","MID","APXMIDP",20171201,21,63.46,633.35
"23","MID","APXMIDP",20171201,22,62.36,652.2
"24","MID","APXMIDP",20171201,23,53.22,1076.9
"25","MID","APXMIDP",20171201,24,53.95,945
"26","MID","APXMIDP",20171201,25,53.5,942.5
"27","MID","APXMIDP",20171201,26,51.82,924
"28","MID","APXMIDP",20171201,27,51.47,949.5
"29","MID","APXMIDP",20171201,28,51.27,928.1
"30","MID","APXMIDP",20171201,29,51.31,997.4
"31","MID","APXMIDP",20171201,30,51.07,1066
"32","MID","APXMIDP",20171201,31,58.28,1402.3
"33","MID","APXMIDP",20171201,32,61.93,1377.85
"34","MID","APXMIDP",20171201,33,63.67,1249.85
"35","MID","APXMIDP",20171201,34,70.87,1385.35
"36","MID","APXMIDP",20171201,35,71.62,1139.3
"37","MID","APXMIDP",20171201,36,74.31,1300.65
"38","MID","APXMIDP",20171201,37,73.72,1542.5
"39","MID","APXMIDP",20171201,38,71.39,1696.65
"40","MID","APXMIDP",20171201,39,68.88,850.65
"41","MID","APXMIDP",20171201,40,59.24,802.6
"42","MID","APXMIDP",20171201,41,53.02,736.35
"43","MID","APXMIDP",20171201,42,50.36,746.9
"44","MID","APXMIDP",20171201,43,50.02,547
"45","MID","APXMIDP",20171201,44,47.35,332.95
"46","MID","APXMIDP",20171201,45,45.78,478.3
"47","MID","APXMIDP",20171201,46,46.41,339.35
"48","MID","APXMIDP",20171201,47,51.35,589.65
"49","MID","APXMIDP",20171201,48,53.87,175.4
"210","MID","APXMIDP",20171202,1,49.17,328.25
"310","MID","APXMIDP",20171202,2,51.05,319.5
